sample_code,pfam03007,pfam00189,pfam00252,pfam00453,pfam00542,pfam00831,pfam00886,pfam01016,pfam01196,pfam01245,pfam01250,pfam01281,pfam01649
MP0103,40,688,1101,502,466,644,438,454,584,518,481,442,442
MP0104,42,202,246,331,197,208,217,221,282,220,252,241,186
MP0144,53,195,150,135,142,138,112,168,138,159,145,116,127
MP0145,34,253,412,251,183,266,173,169,189,192,215,115,162
MP0203,145,508,603,355,441,471,350,430,424,371,399,355,301
MP0204,128,703,994,553,514,663,370,458,513,507,495,468,392
MP0261,230,296,317,1002,272,287,280,284,320,372,256,252,247
MP0262,66,372,439,270,293,381,240,243,299,303,286,208,200
MP0326,92,266,311,283,257,228,233,252,249,280,224,186,176
MP0327,49,492,738,389,307,500,259,324,397,355,306,284,302
MP0371,100,381,410,404,310,338,306,347,356,370,298,266,314
MP0372,83,938,1228,818,789,853,650,700,865,778,852,664,728
MP0440,156,335,434,364,325,361,294,292,396,390,322,302,278
MP0441,115,563,748,454,439,539,468,521,497,478,488,365,341
MP0555,255,281,317,271,246,206,214,217,280,250,205,186,164
MP0556,295,625,794,544,493,528,395,420,595,578,518,400,452
MP0626,208,217,228,215,174,192,159,184,205,195,193,167,162
MP0627,141,338,402,226,179,314,146,160,221,226,212,136,163
MP0739,95,77,87,101,82,68,46,96,73,78,68,61,61
MP0740,157,617,875,474,439,583,387,440,510,467,409,340,401
MP0758,319,220,309,239,254,232,194,193,225,241,226,190,195
MP0759,92,860,937,515,485,759,490,563,574,613,602,477,463
MP0900,284,350,348,339,370,308,301,302,290,296,318,282,253
MP0901,112,656,817,445,449,684,406,422,545,486,479,391,451
MP0959,364,314,285,227,290,222,217,211,205,267,206,220,172
MP0960,302,460,536,314,353,421,327,335,354,368,375,300,302
MP1091,101,207,225,221,205,210,142,196,204,265,210,153,163
MP1092,122,445,531,334,337,414,296,333,384,369,357,249,297
MP1140,40,182,224,191,134,159,142,145,137,191,152,122,146
MP1141,34,1095,1409,1230,945,904,1006,1108,1040,1305,1002,813,870
MP1201,155,230,220,263,204,225,188,186,219,249,224,161,205
MP1202,133,434,671,428,353,467,301,357,406,310,333,284,279
MP1482,330,218,309,304,235,207,203,213,213,244,188,203,204
MP1483,63,516,743,389,315,433,334,325,418,394,355,310,313
MP1493,544,274,257,247,269,220,201,227,216,260,240,207,193
MP1494,68,277,448,274,195,220,175,214,235,254,208,180,183
MP1787,739,281,362,298,360,280,299,266,273,293,272,234,233
MP1788,468,683,947,598,602,625,522,567,642,604,570,504,561
MP2052,540,241,281,272,260,233,231,265,248,265,274,176,220
MP2053,140,403,561,281,275,401,249,249,317,260,281,234,239
MP2158,499,177,241,227,198,189,183,205,201,199,214,182,166
MP2159,65,700,1033,396,297,552,306,347,425,390,370,305,263
MP2252,823,334,343,349,463,313,326,350,331,344,348,296,349
MP2253,108,660,891,541,474,606,405,468,524,488,513,411,415
MP2633,804,448,510,499,384,414,349,369,411,485,472,355,349
MP2634,125,1024,1239,859,830,953,701,829,903,856,821,709,724
MP2913,291,475,667,484,437,496,387,416,460,422,429,353,373
MP2914,366,666,816,506,495,609,446,482,568,525,467,435,436
MP2968,170,297,304,272,231,242,243,246,248,290,216,192,206
MP2969,210,809,1090,685,621,764,533,556,706,620,619,536,568
